year,era,event,source
2513,Convergence War,"Despite war, the Sky Fortress survives in peace shielded by storms. They export energy cells to Free Harbors",factions/fimbul_industries.md
2513,Convergence War,"As the Convergence War rages, the dreams grow more intense",geography/sectors/glowhaven.md
2513,Convergence War,An explorer from the HRZ sold Kamec's government a strange piece of technology,geography/sectors/kamec.md
2513,Convergence War,"During the Convergence War, the Pavo royal family consistently changes sides, causing the emergence of both MUD and Ustur resentment. Both factions begin supporting the Pavos' political adversaries...",geography/sectors/pavo_passage.md
2513,Convergence War,Ophek Revel begins trading HRZ information during the war,history/eras_of_star_atlas.md
2515,Convergence War,"During the Convergence War, Eknok - a notorious war criminal - crash-lands on planet Etira in the Yuldun Waste (MRZ-32)",factions/bmah.md
2515,Convergence War,Order of Seasons created - an assassin cult secretly revering the Iris aspect Dusk (Convergence War era),factions/order_of_seasons.md
2517,Convergence War,Barrot re-enters the gateway. He never returns. The portal becomes unapproachable,factions/barrot_entertainment_company.md
2517,Convergence War,Patrah (Sogmian) meets Eolus.tcher (Ustur),history/eras_of_star_atlas.md
2518,Convergence War,"Frostsun sends reinforcements to support the ONI faction in the HRZ war. After a successful early campaign, they managed to colonize the rich world of Gerio in the HRZ",geography/sectors/frostsun.md
2519,Convergence War,"Using the HRZ technology, Kamec developed perfect imitations of their citizens",geography/sectors/kamec.md
2521,Convergence War,The Pirate King starts his campaign for freedom in the HRZ - the Jorvik Pirates are formally formed,factions/jorvik.md
2521,Convergence War,"Ingbus discovers a unique resource in the Cataclysm which seems to be the key to resurrecting the Ka-raviam empire. Nevertheless, after the Convergence War the paths to the Cataclysm disappear, and...",geography/sectors/ka_dara.md
2521,Convergence War,Zagah (Sogmian exile) arrives at Garadar and begins organizing multi-species governance,
2522,Convergence War,"Free Harbors is flooded by refugees from the Convergence War. Unemployment, criminality, and civil unrest rise sharply - the sanctuary's ideals are tested by the galaxy's displaced masses",geography/sectors/free_harbors.md
2522,Convergence War,"-09: In one year and one month, the Order of Seasons fulfilled their contract - slaughtering all opposition party leaders in the sector",geography/sectors/pavo_passage.md
2522,Convergence War,"Iris conceals itself and the space known as the Cataclysm. No one is able to get inside or outside anymore - Iris actively sealed the region, cutting off all access",geography/the_cataclysm.md
2522,Convergence War,Sogmians complete Titan ship The Last Stand mk. VIII - forces peace talks,history/eras_of_star_atlas.md
2522,Convergence War,"MRZ breakaway - Redam, Mycenas, Xyianing, Pergamos, Abyd break from MUD",history/eras_of_star_atlas.md
2522,Convergence War,Lumikir Scriptorium raided - Convergence War records stolen/destroyed,history/eras_of_star_atlas.md
2522,Convergence War,"Ophek retires from information trading, begins building his casino",history/eras_of_star_atlas.md
2523,Convergence War,"Following the assassination of Sov Arei Paizul, House Akalma is framed as complicit - they are the most convenient scapegoat for Sogmian wrath",factions/house_akalma.md
2523,Convergence War,Eolus and the Garadar DAC discover a sector under the oppressive rule of the Pavo Royal Family,geography/sectors/eol_garadar.md
2523,Convergence War,"Bekalu devastates Akalma Exile sector (Akalma Reckoning) - against the wishes of House Outro, generating deep grief and resentment between House Xictus and House Outro",history/eras_of_star_atlas.md
2528,Golden Era,"📋 *Proposed* - Bekalu resigns the function of Sov Arei, pressed with guilt over the Akalma massacre *(date inferred: a few years after the Accord ~2523, before Golden Era stability)*",
2523,Convergence War,The Accord - Treaty of Peace signed. COP created. Star Atlas blockchain established. Golden Era begins,history/eras_of_star_atlas.md
2523,Convergence War,House Outro opens Vega Fall for refugees,history/eras_of_star_atlas.md
2523,Convergence War,Created during The Accord (post-Convergence War settlement),institutions/council_of_peace.md
2523,Convergence War,Anfoil State formally constituted under Ponel.eldr - Meritocratic Technate established post-Accord,factions/anfoil_state.md
2524,Golden Era,The Punaabs of Frostsun lose contact with their brethren in Gerio after the chaos that follows the factions' retreat from the HRZ in the aftermath of the Convergence War,geography/sectors/frostsun.md
2524,Golden Era,"With both MUD and Ustur exhausted from the Convergence War, neither can pressure Pavo any longer. The sector thrives in the power vacuum and begins spreading its influence across the Medium Risk Zone",geography/sectors/pavo_passage.md
2524,Golden Era,Redam - The five leaders' rules are formally installed and governance becomes stabilized in Redam sector,geography/sectors/redam.md
2524,Golden Era,Xyanyang Government formed as independent state after MRZ breakaway (~2522),factions/xyanyang_government.md
2525,Golden Era,"The COP formally charters the Galia Medical Union as a permanent civilian body, drawing its initial staff from wartime field medics who had already proven that cross-faction medicine was possible",factions/galia_medical_union.md
2525,Golden Era,"A Conscient (Awakened) Tufa stays behind after the Cataclysm is sealed, founding the Gate Garrison - a formidable collective whose mission is to ensure no one ever reaches Iris again. The Gate Garr...",species/tufa.md
2525,Golden Era,"Iris Academy founded by Chior.eldr, Professor Exfeheros, and leading academics at Zenith Door - neutral organization devoted to peace and galactic research",factions/iris_academy.md
2525,Golden Era,Nimrod Trackers DAC founded in Communion sector - monster hunters specializing in exotic fauna,factions/nimrod_trackers.md
2526,Golden Era,Free Harbors passes through a period of turbulence in their democracy - the different harbors fight for power and dominance. Other factions in Galia Expanse try to expand their influence in the sector,geography/sectors/free_harbors.md
2526,Golden Era,Starpath Warp-Gates construction begins; Cradle construction begins,history/eras_of_star_atlas.md
2526,Golden Era,Construction begins on the Cradle - the most powerful vessel ever built,institutions/council_of_peace.md
2526,Golden Era,Xianyang Enforcers created as military arm of Xyanyang Government,factions/xianyang_enforcers.md
2526,Golden Era,Denebula merchant prince Gelah expands trade routes to Safe Zone - caste system solidifies,
2527,Golden Era,ECOS membership in COP - blocked from major faction status by MUD lobby,history/eras_of_star_atlas.md
2527,Golden Era,COP expands operations - establishes peacekeeping protocols and MRZ patrol routes to prevent another Convergence War,
2530,Golden Era,"Gate Garrison formally organized - multi-species bounty-hunter organization led by an Awakened Tufa, operating from the HRZ",factions/gate_garrison.md
2530,Golden Era,First scav-crews form in the aftermath of the Convergence War - desperate MRZ drifters begin stripping abandoned warships and stations,
2530,Golden Era,GMU fully operational - medical fleet deployed across Safe Zone; trauma surgery and rehabilitation infrastructure built,
2530,Golden Era,Swamp Lords settle in the marshlands of Dream Reach - reclusive warlords who build fortress-habitats in hostile terrain,
2531,Golden Era,"Jorvik raiders begin moving into the Medium Risk Zone, expanding operations beyond the HRZ",factions/jorvik.md
2531,Golden Era,"After the war concluded and the COP treaty was ratified, peculiar time-based phenomena started occurring",geography/sectors/zavijava_zone.md
2532,Golden Era,Ustur Regency established in Pavo Passage; Winter Fist Path (Ustur martial sect) arrives with the Regency,factions/ustur_regency_pavo.md
2533,Golden Era,"When the slaver warlords formally seize Frenir, they find Ki'Prah abandoned and convert it into a forced labor camp - the worst of Frenir's horrors",factions/frenir_new_government.md
2533,Golden Era,The legitimate government of Frenir collapses entirely - the cause is documented in the sector file but involves cascading political and economic failure,factions/slavers_of_frenir.md
2533,Golden Era,"Due to the Ustur weakening during the Convergence War, poachers begin raiding the Verbis Cluster to capture or exploit the Janar",geography/sectors/verbis_cluster.md
2533,Golden Era,Good exotic plants reappear in Coral Nebula settlements respecting Rule of 1000,history/eras_of_star_atlas.md
2535,Golden Era,"Although Pertuam forces ultimately win against the poacher raids, the planet suffers critical infrastructure attacks",geography/sectors/verbis_cluster.md
2535,Golden Era,Lumikir Scriptorium creates a personal guard of war veterans,history/eras_of_star_atlas.md
2535,Golden Era,Scriptorium establishes the Whisper Conclave - an intelligence-gathering branch that trades in secrets and classified data,
2538,Golden Era,Abyd-IX civil war breaks out after MUD severance,history/eras_of_star_atlas.md
2538,Golden Era,Abyd-IX first provisional government formed during civil war,factions/abyd_government.md
2539,Golden Era,"Herdus.soul, disciple of Chior.eldr, helps his master discover and stabilize the wrecked Zenith Door sector. Together they found what becomes a beacon of learning and peace in the MRZ",factions/church_of_the_dreamer_below.md
2540,Golden Era,"s: Merchant Prince Buccharaano, a High Punaab from a minor merchant family in the ONI zone, visits the wormhole system during a trade run",factions/barrot_entertainment_company.md
2540,Golden Era,Patrah sets refugee aid efforts to Vega Fall with House Outro,history/eras_of_star_atlas.md
2542,Golden Era,"Pergamos formally begins alliances with major MRZ factions - becomes a major harbor for Jorvik, ECOS, and other outlaw groups",factions/jorvik.md
2542,Golden Era,A civil war erupts in MRZ-8 among competing local factions,factions/ophek.md
2542,Golden Era,Ophek seizes power in MRZ-8 through diplomatic play,history/eras_of_star_atlas.md
2542,Golden Era,ECOS groves become biggest food suppliers in Galia,history/eras_of_star_atlas.md
2542,Golden Era,Mycenas-V raided by alien pirates; Virel the Serene starts civil movement,history/eras_of_star_atlas.md
2543,Golden Era,Xianyang institutes mandatory public army service - every citizen participates in the Rite of Passage military training,
2544,Golden Era,Fleeing remnants of House Akalma encounter the Oxir - an enigmatic HRZ species,factions/house_akalma.md
2544,Golden Era,Virel creates meritocratic government + energy shield (turning point vs pirates),history/eras_of_star_atlas.md
2545,Golden Era,"Ophek renames sector ""Ophek Oasis""",history/eras_of_star_atlas.md
2545,Golden Era,Malkabaets order founded - a mystical priesthood dedicated to interpreting the Cosmic Current; Sogmian-led with multi-species membership,
2546,Golden Era,Virel destroys/expels all alien invaders from Mycenas,history/eras_of_star_atlas.md
2547,Golden Era,"After being nearly overwhelmed by alien invaders, Xianyang-VI forges an alliance with Gate Garrison",geography/sectors/xianyang.md
2550,Golden Era,"s: After a decade of construction, Barrot's Folly opens to the public. It is an immediate sensation",factions/barrot_entertainment_company.md
2550,Golden Era,Communion becomes the commercial capital of the ONI Consortium - the most prosperous and interconnected ONI sector,geography/sectors/communion.md
2550,Golden Era,"The Relic Barons discover a device that pacifies the automatons of Harkend within a certain range, allowing them to start permanent colonies in the sector to systematically explore and uncover its ...",geography/sectors/harkend.md
2550,Golden Era,Holpla Insurances Inc founded - galactic insurance corporation based at COP Cradle,factions/holpla_insurances.md
2550,Golden Era,Crumon Dynasty builds the Spire Foundries on Crushspire - monument-factories modeled after the Ustur Elder Spire on Ioki,
2550,Golden Era,Exile Scavengers professionalize - the Flotsam Exchange (orbital bazaar in MRZ-12 orbit) develops as a stable market,
2550,Golden Era,"Pergamos Shadow Contracts extend to every MRZ sector - Shadow Banks control logistics, credit, and enforcement",
2551,Golden Era,Vzus Tenet construction completed - a Titan-class Ustur warship stored at Doers Harbor; built using materials from across Galia,
2552,Golden Era,"A group of MUD entrepreneurs attempts to create a settlement on the main planet, but after months of activity they are completely overwhelmed by the mutated flora and fauna - further cementing Old ...",geography/sectors/old_grove.md
2553,Golden Era,Virel constructs system-wide defensive barrier (upgrade to shield),history/eras_of_star_atlas.md
2553,Golden Era,Abyd-IX provisional government forms but quickly collapses,history/eras_of_star_atlas.md
2553,Golden Era,Pergamos begins financing Abyd-IX warring factions,history/eras_of_star_atlas.md
2554,Golden Era,"The Gate Garrison formally relocates its headquarters to Xianyang-VI, cementing the sector as a military powerhouse",geography/sectors/xianyang.md
2555,Golden Era,"Redam attempts to form a league of MRZ factions for mutual cooperation and defense - the effort fails, highlighting the deep fragmentation and mistrust between medium zone powers",geography/sectors/redam.md
2555,Golden Era,Night Window sector discovered - a permanently dark region used for covert operations and smuggling routes,
2557,Golden Era,Garadar sector renamed Eol-Garadar - combining Eolus.tcher (Ustur founder) and Garadar (settlement name),
2557,Golden Era,The Relic Barons install a massive space observatory in Summer Sea - mapping HRZ border regions,
2557,Golden Era,Pearce retires from active command - the Pearce Council established in his honor to oversee MUD military policy,
2558,Golden Era,Opal Industries is founded in the Azut sector from a collaboration between Ustur and MUD,manufacturers/opal.md
2559,Golden Era,Herdus.soul leaves Chior.eldr and begins wandering the MRZ alone,history/eras_of_star_atlas.md
2560,Golden Era,Crumon Dynasty hires the Order of Seasons to crush political opposition in Pavo Passage - the Order fulfills the contract,
2563,Golden Era,"""The Night"" - the Order of Seasons kills the entire Crumon royal family for non-payment; Queen Cathris disappears; only baby Ike Pavo survives (absent from sector)",
2565,Golden Era,Civil war erupts in Pavo Passage - Crumon loyalists vs sector factions,history/eras_of_star_atlas.md
2569,Golden Era,"Xianyang-VI becomes the strongest ex-colony of MUD in military power and formally creates the Xianyang Enforcers as a mercenary group present in most of the battlefronts of Galia, to help finance t...",geography/sectors/xianyang.md
2569,Golden Era,Herdus goes insane after .soul ascension,history/eras_of_star_atlas.md
2571,Golden Era,Ophek Oasis formally recognized as independent territory by COP,history/eras_of_star_atlas.md
2573,Golden Era,Exfeheros develops equipment for Weeping Nebula toxic rain exploration,history/eras_of_star_atlas.md
2574,Golden Era,Merchants of Pergamos create Shadow Contracts for illegal trading,history/eras_of_star_atlas.md
2576,Golden Era,Exfeheros + Iris Academy establish research settlement in Weeping Nebula,history/eras_of_star_atlas.md
2577,Golden Era,"Mysterious Photoli reveals ""trickery"" to Herdus - Church of the Dreamer Below founded",history/eras_of_star_atlas.md
2579,Golden Era,Anfoil restores diplomatic relations with Ioki Elders,history/eras_of_star_atlas.md
2585,Golden Era,Lumikir Scriptorium reorganized across entire homeworld due to massive growth,history/eras_of_star_atlas.md
2567,Golden Era,Pavo Passage civil war ends - Ruling Conclave (façade democracy) established,history/eras_of_star_atlas.md
2568,Golden Era,TAPP (Toll Authority of Pavo Passage) formalized under Conclave governance - toll infrastructure becomes the sector's power machine,factions/tapp.md
2568,Golden Era,Meridian Trading Company (MTC) enters Pavo Passage - MUD/Synod front for soft capture,factions/mtc.md
2569,Golden Era,"Vale Horizon Exchange (VHE) founded by Seraphine Vale - counter-MTC balance, the people's corridor",factions/vhe.md
2569,Golden Era,ECOS and Iris Academy co-found The Nursery at Ilidae - a sustainable city designed around Termik welfare; Deepwell Grove formalized,
2570,Golden Era,The Collective Anarchy emerges - a decentralized anarchist network in the MRZ advocating for total independence from COP authority,
2571,Golden Era,"Scav-crew discovers the Whisper Engine in Akalma Deep - a Sogmian Cosmic Current-reactive artifact; sold to Malkabaets for 40,000 ATLAS",
2580,Golden Era,First Photoli joins the Malkabaets - triggering an internal crisis; the order must reconcile Sogmian tradition with alien spirituality,
2580,Golden Era,Sorkof Pirates split from Jorvik - rejecting the codified Creed; become an independent pirate faction operating outside Jorvik law,
2586,Golden Era,Vega Fall prospers through multi-species cooperation,history/eras_of_star_atlas.md
2587,Golden Era,Jefos (Prince of House Akalma) born in HRZ - Cosmic Current storm rages at his birth; Malkabaets declare it a prophetic sign,
2588,Golden Era,"Dark Photoli discovers genesium on Izar-248, begins creating monsters",history/eras_of_star_atlas.md
2589,Golden Era,Ghost Sevra Cull recovers the Sogmian Memory Core from Akalma Deep - contains House Akalma court records; sold to the Scriptorium's Whisper Conclave,
2590,Golden Era,The Positive Union founded - a political movement promoting cross-faction cooperation and COP reform through diplomacy rather than war,
2595,Golden Era,Iris Academy establishes Anchorage outpost in Glowhaven,history/eras_of_star_atlas.md
2596,Golden Era,Starpath construction ends - prosperity in the Safe Zone,history/eras_of_star_atlas.md
2596,Golden Era,Abyd-IX dust settles - sector divided into small power clusters in ice-thin truce,history/eras_of_star_atlas.md
2598,Golden Era,"Izar-248 genesium monsters descend into depths, colonies destroyed",history/eras_of_star_atlas.md
2598,Golden Era,Scientific expeditions arrive at Coral Nebula to study the flora's behavior and intelligence potential,
2600,Golden Era,"Jefos, prince of House Akalma, born in HRZ - Cosmic Currents storm at birth",history/eras_of_star_atlas.md
2600,Golden Era,Graft Research founded - a secretive biotech faction experimenting with biological augmentation and grafting technology,
2602,Golden Era,Ophek Oasis becomes biggest entertainment sector in the galaxy,history/eras_of_star_atlas.md
2603,Golden Era,"Fennek's Bonepickers find the Void Anchor in a Current Cavity - an impossibly dense artifact of unknown origin; sold for est. 80,000+ ATLAS",
2605,Golden Era,Herdus finds Saand family (Punaab) - takes newborn as vessel for the Dreamer,history/eras_of_star_atlas.md
2610,Golden Era,Vaor Scarka ascends as leading COP Admiral,history/eras_of_star_atlas.md
2614,Golden Era,Clatter.lrnr recovers the Cradle Corridor Map from a Ghost Station - Ustur navigational data of HRZ border sectors; sold to Relic Barons (Whisperkin),
2615,Golden Era,ECOS shocks the galaxy by announcing the Superphoenix - a titan-class vessel,factions/hanging_gardens_government.md
2615,Golden Era,ECOS announces titan ship - the Super Phoenix - shocking the galaxy,history/eras_of_star_atlas.md
2617,Golden Era,Cradle construction ends - most powerful vessel in galactic history,history/eras_of_star_atlas.md
2617,Golden Era,GMU launches SDU technology (Survey Data Units) - a tiered classification system for cataloguing biological data across sectors,
2617,Golden Era,COP establishes the Safe Zone enforcement framework - formal boundaries and patrol routes for the Safe Zone perimeter,
2620,Current Age,Beginning of the Current Age - the playable timeline,history/eras_of_star_atlas.md
2620,Current Age,The Jorvik Fleet starts harassing Safe Zone territories - a bold escalation,history/eras_of_star_atlas.md
2621,Current Age,A medical scandal revealed that a Kamec biotech corporation - Helix Genics - had been running a covert cloning program for decades,factions/kamec_democracy.md
2621,Current Age,Vaor Scarka becomes Ruling Secretary of the COP (ONI rotation),history/eras_of_star_atlas.md
2621,Current Age,Kamec clone divergence rumors spread - Democratic Order denies them,history/eras_of_star_atlas.md
2621,Current Age,"Jefos and young Akalma Sogmians leave the HRZ for the Medium Zone, seeking to redeem House Akalma",history/eras_of_star_atlas.md
2623,Current Age,COP forces under Vaor Scarka's executive leadership launch a military offensive,factions/pergamos_new_government.md
2623,Current Age,"Invaded the sector with COP troops in a swift, decisive operation",geography/sectors/frenir.md
2623,Current Age,"COP intervenes in the Medium Zone - battles against Frenir, Pergamos, and the Jorvik Fleet",history/eras_of_star_atlas.md
2623,Current Age,The Events of Never Alone begin - a major canonical narrative arc,history/eras_of_star_atlas.md
2623,Current Age,ECOS stays neutral during the COP intervention (isolated skirmishes only),history/eras_of_star_atlas.md
2623,Current Age,Redam pressures COP (via Zenith Door + Free Harbors) to accept a truce in the MRZ,history/eras_of_star_atlas.md
2623,Current Age,"COP accepts the truce, limiting its military activities in the Medium Zone",history/eras_of_star_atlas.md
2623,Current Age,Pergamos's leading families banished - new COP-compliant government formed,history/eras_of_star_atlas.md
2623,Current Age,Fimbul BYOS operations disrupted during COP MRZ Incursion - BYOS workshops in Pergamos raided for association with Pergamos shadow economy,
2623,Current Age,Fimbul ECOS division resources redirected during COP MRZ Incursion - ECOS-Fimbul joint programs face scrutiny,
2624,Current Age,Saand - now a grown Punaab - sabotages a live BMAH gathering in Yuldun Waste,factions/bmah.md
2624,Current Age,Hostile life forms of unknown origin appear in the Everstorm sector - predatory creatures that defy conventional biology,factions/duskbloom_grove.md
2624,Current Age,COP forces under Vaor Scarka's executive leadership crush the Slavers of Frenir - leaders are killed or arrested,factions/frenir_new_government.md
2624,Current Age,"After the COP liberation, Tolvak proposes converting the existing infrastructure into a legitimate factory complex",factions/frenir_new_government.md
2624,Current Age,"Ophek Revel dies - the cause is unrecorded, though rumors range from natural causes to assassination by a disgruntled business partner",factions/ophek.md
2624,Current Age,"After liberation, the infrastructure is repurposed into a massive industrial factory - Frenir's single largest employer",geography/sectors/frenir.md
2624,Current Age,"Dark Photoli experiments let loose in Everstorm - hostile life forms, local government hires captains",history/eras_of_star_atlas.md
2624,Current Age,"Ophek Revel dies - his children inherit, each ruling a different entertainment domain",history/eras_of_star_atlas.md
2624,Current Age,Provisional transition government formed in Frenir - slaver leaders dead or arrested,history/eras_of_star_atlas.md
2624,Current Age,"Sons of Patrah faction emerges - Sogmian militants loyal to House Patrah, active during the COP intervention era",
2646,Current Age,A MUD explorer discovers that the Ilidae monoliths are a star map - coordinates point deep into the HRZ,history/eras_of_star_atlas.md
